id	category	ask
68	hotelname	五一我在上海住的那家酒店叫什么
69	hotelname	十一在厦门住的酒店叫什么
70	hotelname	能查下我去年3月份去北京住的那个酒店名吗？
71	hotelname	昨天在手机上订的订单，帮我查下酒店名称
72	hotelname	在手机上订的订单，帮我查下酒店名
73	hotelname	刚在网上提交的订单，酒店叫什么
74	hotelname	刚手机上订的酒店叫什么
75	hotelname	刚帮朋友订的酒店名是什么
76	hotelname	刚帮朋友订的酒店名称是什么
77	hotelname	我要查询去年我在北京订过的酒店名称和地址
78	hotelname	这家酒店叫什么名字
79	hotelname	订的这个酒店叫什么名字
80	hotelname	酒店名称给我下，我要导航
81	hotelname	我准备导航过去，酒店名给我下
82	hotelname	我现在住的酒店叫什么
83	hotelname	我今晚订的酒店叫什么
84	hotelname	我订的今晚住的酒店叫什么
85	hotelname	我今晚订的是哪家酒店
86	hotelname	我帮别人订的是哪家酒店
87	hotelname	帮我查下，我订的是希尔顿酒店吗
88	hotelname	怎么可以查看我订的酒店名称
89	hotelname	帮忙查询下，订的是哪家酒店
90	hotelname	能帮我查到之前订的酒店名称吗
91	hotelname	能帮我查到昨晚住的哪家酒店吗
92	hotelname	我上周末住的是哪家酒店
93	hotelname	上周末订的那家酒店叫什么
94	hotelname	在哪里可以看到我订的酒店名
95	hotelname	在哪里可以查到我订的酒店名
96	hotelname	酒店全名给我下
97	hotelname	我昨晚入住的酒店名帮我查下
98	hotelname	昨晚住的是清沐酒店吗
99	hotelname	昨晚住的是七天酒店吗
100	hoteltel	订酒店电话多少
101	hoteltel	我定的如家电话多少
102	hoteltel	我刚预定的酒店座机电话是几号
103	hoteltel	订酒店客服电话
104	hoteltel	招待所电话号码在哪看
105	hoteltel	怎么联系店家
106	hoteltel	酒店的联系方式
107	hoteltel	招待所的联系方式在哪里能看
108	hoteltel	手机拨打酒店客房号码是多少？
109	hoteltel	那个酒店我没看到酒店电话
110	hoteltel	如何获得酒店的电话
111	hoteltel	这个酒店的电话是多少
112	hoteltel	前台电话是多少？
113	hoteltel	在哪能找到酒店的电话
114	hoteltel	我预订酒店想看号码联系
115	hoteltel	能提供给我厦门鼓浪屿依佳驿站稚梦店的预约电话吗
116	hoteltel	我想知道上海维也纳酒店（浦东机场店）的电话号码
117	hoteltel	我想跟酒店的工作人员联系
118	hoteltel	我订的旅店有联系方式吗？
119	hoteltel	可是我查找不了预定酒店的联系方式
120	hoteltel	我在艺龙定了3月7-10号达尔文的住宿，我想要这家店的联系方式，因为我买了些东西要寄到这里去
121	hoteltel	我就是想要打电话给我要预定的酒店了解一下那里的基本情况可是没有联系方式
122	hoteltel	我想通过邮件与酒店联系，联系不上怎么办
123	hoteltel	订单详情里怎么没有酒店电话？我怎么获取酒店电话
124	hoteltel	我怎么和店家先打电话
125	hoteltel	怎么找不到绪缘住宿的电话？是否房间内有卫浴？
126	hoteltel	我订单 1204291583 你们留的酒店联系方式不对
127	hoteltel	能否帮我找下深圳东部华侨城咖酷旅馆的联系电话
128	hoteltel	可是我找到的网页，没有酒店的电话
129	hoteltel	酒店电话在哪
130	hoteltel	我预定了这个酒店，但是找不到酒店的联系电话。
131	hoteltel	海南香水湾君澜度假酒店（纯别墅） 知道酒店咨询电话吗？
132	hoteltel	订单 如何联系商家
133	hoteltel	供应商 和谐假期的联系方式能说下吗
134	hoteltel	我的订单1220228662，能帮我查一下酒店客服电话吗
135	hoteltel	我的订单1242125505，请提供酒店服务电话，以便联系。
136	hoteltel	"我想预定酒店，我想和酒店方直接沟通,怎么沟通？"
137	hoteltel	这个 订单是到店付款吗，确定有房吗，方便吧客栈电话告诉一下吗 ，没有搜得到
138	hoteltel	我不是电话预定，是网上订后，付款了，想打电话过去酒店
139	hoteltel	7天连锁赤岗电话
140	hoteltel	您有这个的联系方式么，我想和店家联系一下
141	hoteltel	"我的3月16日长沙飞航旅馆的房间订单已经付款,如何和酒店方取得联系?"
142	hoteltel	请发下东隅度假村的前台号码
143	hoteltel	可以把前台电话告诉我一下吗
144	hoteltel	可以帮我查到电话吗？
145	hoteltel	我预定的太仓金陵花园酒店是否可以提供一下大堂电话？
146	hoteltel	给我一下这重庆普州宾馆的联系方式，以防找不到时用
147	hoteltel	我定的宾馆联系不上怎么办
148	hoteltel	我想找所订酒店的电话，在哪里能看到
149	hoteltel	三亚大东海金沙滩海景度假别墅 入住日期：2015-03-24 订单状态：已确认 的电话号码
150	hoteltel	我刚才订的酒店，有没有酒店的电话？
151	hoteltel	曼谷皇权酒店电话
152	hoteltel	一下我们订了一个酒店北京今天晚上入住的酒店的电话能给我一下吗
153	hoteltel	有没有正确的7天酒店的总机电话啊
154	hoteltel	你能不能告诉我一下我订的那个店的电话
155	hoteltel	你能告诉我 他们的前台电话号码
156	hoteltel	怎么咨询酒店？
157	hoteltel	东京新高轮王子大饭店的地址和电话
158	hoteltel	酒店订单电话
159	hoteltel	我想在這個網站下單，還有問題想咨詢商家，但網頁沒有商家的聯系方式
160	hoteltel	有酒店的电话吗？
161	hoteltel	请帮我查询这家酒店的电话
162	hoteltel	这家店有没有联系电话？
163	hoteltel	我订了一个酒店地址找不到能把电话号码给我吗
164	hoteltel	预订酒店没有联系方式啊
165	hoteltel	酒店的前台号码给我一个
166	hoteltel	我咨询下，我要清明节回宝应能否把宝应世纪星商务宾馆电话给我
167	hoteltel	我想订一个酒店 但是我想联系酒店问点具体的东西 该怎么联系呢
168	hoteltel	红珠酒店的客服电话是多少
169	hoteltel	我订了一个湖景酒店我现在找不到你能把它的号码给我一下好吗
170	hoteltel	能不能把普陀山海军宾馆的电话发给我吗
171	hoteltel	请帮我查询97之约客栈的电话
172	hoteltel	能不能把那个旅店的电话号码发给我呢？
173	hoteltel	你可以把酒店的联系方式发给我吗？
174	hoteltel	你们没有酒店别的号码吗
175	hoteltel	武义清水湾·沁温泉度假山庄 联系方式
176	hoteltel	天津洁静日租房的预订电话
177	hoteltel	为什么我预定酒店看不到商家的电话号码
178	hoteltel	上面没有酒店联系电话吗？
179	hoteltel	酒店的联系方式是什么
180	hoteltel	问问，我所住的酒店的电话是多少
181	hoteltel	我已经收到短信了，只是怕途中耽搁，影响入住，所以要酒店电话以便联系
182	hoteltel	尚客优电话多少
183	hoteltel	麻烦提供下成都凯宾斯基电话
184	hoteltel	三亚希尔顿咨询电话
185	hoteltel	酒店的电话不知邮箱也不知，可否发个
186	hoteltel	昆明乐酷公寓理工店的前台号码
187	hoteltel	你可不可把那家酒店的电话号码发给我啊
188	hoteltel	现在艺龙怎么没有酒店的电话号码啦
189	hoteltel	帮我查询下我订单的那个酒店的前台电话
190	hoteltel	为什么新版APP无法在预定前看到酒店的联系电话？原来是可以的
191	hoteltel	商家房间设施问题，可是没人回复。没有房东电话啊？？？
192	hoteltel	我想要店家电话
193	hoteltel	没有显示酒店的电话
194	hoteltel	定的广州兴旺宾馆的前台电话
195	hoteltel	我刚定的酒店联系方式可以告诉我一下吗
196	hoteltel	发澳斯罗克前台联系方式给我一下
197	hoteltel	怎么跟店家联系呢
198	hoteltel	我定了曼谷的酒店，为什么都看不到酒店的联系电话或者邮箱呢？
199	hoteltel	我想知道我订的酒店的联系方式
200	hoteltel	PJ酒店的联系方式是什么
201	hoteltel	我想知道我订的酒店的电话
202	hoteltel	订了酒店，不知道怎么联系酒店
203	hoteltel	怎样得到酒店电话
204	hoteltel	预定的酒店没有联系方式嘛
205	hoteltel	能帮我查询到我之前订的花水湾名人度假酒店的联系电话吗？
206	hoteltel	麻烦告诉我我预定的首尔西林演出酒店的电话
207	hoteltel	郑州机场附近，郑港酒店的电话给我发一个
208	hoteltel	我怎么能联系到酒店
209	hoteltel	有没有7天联系电话？
210	hoteltel	酒店号码多少
211	hoteltel	麻烦帮我查一下此单酒店电话
212	hoteltel	我预定了清迈的酒店，我需要酒店的联系方式
213	hoteltel	古兜温泉度假酒店的电话
214	hoteltel	下我订单中的酒店电话在哪里
215	hoteltel	我快到北戴河了，怎么联系酒店那边？
216	hoteltel	怎么拨打酒店电话
217	hoteltel	大堂电话是多少
218	hoteltel	酒店总台热线号码
219	hoteltel	酒店电话发过来
220	hoteltel	给我发个洲际酒店的联系方式
221	hoteltel	我刚才订的风凰小缘客栈电话号码发给我
222	hoteltel	7天前台电话方便给我吗
223	hoteltel	八一大道七天酒店电话多少，市汽车站对面的电话
224	hoteltel	我要个订单所住的酒店电话号码
225	hoteltel	你们的店内电话给我一下
226	hoteltel	怎么跟境外的酒店联系
227	hoteltel	我刚定个房间 把房主电话 给一下
228	hoteltel	我己预订房间了，酒店电话号？以便联系！
229	hoteltel	那你给我一个德阳7天连锁酒店的电话
230	hoteltel	好的，能帮我查询前台电话号码吗
231	hoteltel	怎么没有店家电话？
232	hoteltel	我预定的酒店前台号码是多少呢？
233	hoteltel	我是已经预定了房间请把你的电话告诉我可以吗
234	hoteltel	你们能联系上酒店吗？我就在这附近转好久了
235	hoteltel	贵客栈的服务电话是什么?
236	hoteltel	在你家订了一个房，麻烦发一下电话
237	hoteltel	客房电话是多少？
238	hoteltel	我要我订房酒店电话
239	hoteltel	我没找到酒店前台电话
240	hoteltel	我定的住宿有联系电话嘛
241	hoteltel	我要怎样联系我订的酒店的老板
242	hoteltel	酒店前台电话多少？找不到酒店
243	hoteltel	我刚定的订单 给我下商家电话
244	hoteltel	我的订单没有看到商家电话
245	hoteltel	能帮我联系一下这个酒店吗
246	hoteltel	能不能知道商家电话
247	hoteltel	已订好，有无总台电话，已在附近没找到
248	hoteltel	有门店的电话吗
249	hoteltel	联系店家
250	hoteltel	房东无联系方式
251	hoteltel	我定了的，如何联系老板
252	hoteltel	我预定了二间大床房己交费了，给我个前台客服电话
253	hoteltel	该住宿电话‘
254	hoteltel	刚刚订了酒店，酒店联系方式找不到
255	hoteltel	香港港岛太平洋酒店客服电话多少
256	hoteltel	前台电话是什么
257	hoteltel	我想要我订的宾馆座机号
258	hoteltel	酒店电话有么，有点事问问
259	hoteltel	早到怎么和酒店联系
260	hoteltel	订单没有酒店电话
261	hoteltel	我刚订了两间房有没联系电话
262	hoteltel	遵义鑫城宾馆的电话号码发过来一下
263	hoteltel	鑫城宾馆的电话号码是多少
264	hoteltel	国际酒店如何联系
265	hoteltel	问问酒店电话
266	hoteltel	你发你们酒店客房电话过来。
267	hoteltel	为什么没有酒店的服务电话啊
268	hoteltel	怎么联系我要找的酒店
269	hoteltel	已经入住405怎么电视不可以看呢？酒店电话号码多少呢
270	hoteltel	你们门店的电话多少
271	hoteltel	酒店上面没显示电话号码
272	hoteltel	下了订单要怎么联系酒店
273	hoteltel	到了车站怎么联系酒店客服
274	hoteltel	我们到了找不到要打电话联系的
275	hoteltel	可否给我酒店联系微信或电话
276	hoteltel	客服前台电话
277	hoteltel	提供订单号，能查到酒店电话吗？
278	hoteltel	我刚定了房间！有事想问问能给个电话吗
279	hoteltel	能不能把商家的电话号码给我？
280	hoteltel	找不到地址，请把酒店电话发过来
281	hoteltel	你们有成都布丁酒店的联系方式吗
282	hoteltel	广州白云酒店电话几号？到了找不到酒店
283	hoteltel	怎么给酒店打电话
284	hoteltel	房间我已经定了，发个联系方式给我
285	hoteltel	找不到商家电话
286	hoteltel	我给客人订的，怕他找不到，留个前台电话呗
287	hoteltel	如家酒店天空之都店的总台电话有吗？
288	hoteltel	明晚入住酒店联系电话
289	hoteltel	我酒店已经订好了 电话号码发一下？
290	hoteltel	已有订单如何查询电话
291	hoteltel	没有联系电话‘到点后怎样联系店家？
292	hoteltel	还未下单如何查询电话
293	hoteltel	我看中了这家酒店，但酒店电话有问题
294	hoteltel	打电话给酒店预约，可是一直没有人接电话
295	hoteltel	我订的酒店怎么联系呢？没有联系电话吗？
296	hoteltel	我在同程网上查酒店，怎么才能找到酒店的电话
297	hoteltel	在同程旅游网上怎么查找目的地的咨询电话
298	hoteltel	酒店的电话为什么一直打不通呢
299	hoteltel	我找不到酒店的联系电话
300	hoteltel	酒店电话我找不到啊
301	hoteltel	能不能帮我找一下这个房子的电话？
302	hoteltel	有商家电话么
303	hoteltel	请提供酒店电话
304	hoteltel	这酒店怎么电话号码都不留一个
305	hoteltel	如何查询酒店联系方式
306	hoteltel	我想要这个店家的联系方式可以吗？
307	hoteltel	酒店联系方式
308	hoteltel	酒店号码
309	hoteltel	酒店号码有没有
310	hoteltel	酒店电话是多少
311	hoteltel	你们前台电话多少
312	hoteltel	酒店前台电话
313	hoteltel	酒店服务台电话多少
314	hoteltel	你们酒店前台电话多少
315	hoteltel	酒店服务电话在哪里？
316	hoteltel	刚刚预订了个酒店但是号码是空号
317	hoteltel	这家店的电话多少？我需要咨询去的方式
318	hoteltel	把这个酒店前台的号码能给我一下么
319	hoteltel	你们酒店的订房热线是什么
320	hoteltel	您有酒店的订房电话吗？
321	hoteltel	商家联系方式有吗？
322	hoteltel	不能直接联系酒店么
323	hoteltel	酒店的电话号码在哪里看？
324	hoteltel	能告知酒店联系电话吗
325	hoteltel	能告知酒店联系方式吗
326	hoteltel	我能联系到卖家吗
327	hoteltel	电话是什么
328	hoteltel	店主电话是多少
329	hoteltel	他们家的联系电话 打不通
330	hoteltel	贵店的联系电话？
331	hoteltel	店里电话多少
332	hoteltel	商家电话多少
333	hoteltel	电话号码发给我
334	hoteltel	联系方式
335	hoteltel	联系号码
336	hoteltel	店家号码多少我有事问
337	hoteltel	号码是假的，打不通
338	hoteltel	我想联系下前台
339	hoteltel	怎样问前台
340	hoteltel	需要电话问路
341	hoteltel	能帮联系上酒店吗
342	hoteltel	联系一下酒店前台
343	hoteltel	帮我问看看电话是多少
344	hoteltel	号码有木有
345	hoteltel	联系酒店
346	hoteltel	找不到联系电话
347	hoteltel	有电话吗，我们是外地的
348	hoteltel	这店的号码有吗
349	hoteltel	在哪能看到商家电话哈
350	hoteltel	怎么查询酒店客服号码
351	hoteltel	问这个酒店电话号码，看不懂价格
352	hoteltel	请告知酒店销售部的电话。
353	hoteltel	电话多少我咨询点事情
354	hoteltel	联系电话是一个始终无法打通的号码
355	hoteltel	怎么联系店主？
356	hoteltel	酒店联糸电话
357	hoteltel	入住酒店电话
358	hoteltel	酒店电话号码是多少
359	hoteltel	我想找总台预订电话！
360	hoteltel	能帮我查酒店号码吗
361	hoteltel	前台坐机号码
362	hoteltel	把你们的联系方式发过来
363	hoteltel	有尚可优的电话吗
364	hoteltel	我刚预订了的酒店联系方式多少
365	hoteltel	把酒店电话给我发过来
366	hoteltel	汉庭酒店电话是空号
367	hoteltel	我要怎么咨询商家？
368	hoteltel	我可以和商家联系吗
369	hoteltel	饭店电话
370	hoteltel	吧台电话
371	hoteltel	大堂电话
372	hoteltel	我开了家酒店，怎么上架
373	hoteltel	有联系方式给我
374	hoteltel	去了怎么联系酒店前台买优惠票？
375	hoteltel	刚订的房间，电话空号怎么处理？钱已经收了
376	hoteltel	想要酒店大堂电话
377	hoteltel	麻烦前台电话能发过来吗
378	hoteltel	怎么都没电话
379	hoteltel	锦江之星电话
380	hoteltel	维也纳酒店的咨询电话
381	hoteltel	我想要这个酒店的电话
382	hoteltel	有他们家电话么
383	hoteltel	你家电话
384	hoteltel	麻烦告知咨询电话
385	hoteltel	预定想电话咨询
386	hoteltel	你们酒店的电话请说一下
387	hoteltel	对方无法联系，影响行程
388	hoteltel	我定的酒店电话是？
389	hoteltel	这个酒店电话是关机状态
390	hoteltel	宾馆的号码发来
391	hoteltel	想和商家联系
392	hoteltel	你们前台预定电话
393	hoteltel	我刚才看到想住的酒店，想要电话号码
394	hoteltel	这个酒店电话告诉我
395	hoteltel	你们前台电话号码是多少
396	hoteltel	我看的那家酒店，怎么没有号码
397	hoteltel	我不知道酒店号码呢
398	hoteltel	店内咨询电话
399	hoteltel	你们酒店电话多少 ，我打电话给你们
400	hoteltel	青年旅社的联系方式
401	hoteltel	能不能给我前台的电话呀
402	hoteltel	贵店前台电话
403	hoteltel	店家号码已过期
404	hoteltel	我想联系豪阁遇上酒店
405	hoteltel	是这个酒店的客服电话
406	hoteltel	如果没人接，我该怎么联系酒店？
407	hoteltel	不能给酒店打电话咨询吗
408	hoteltel	我要联系这家住宿，问问
409	hoteltel	酒店号码给我下
410	hoteltel	怎么查店家的电话号码啊？
411	hoteltel	我海友酒店的电话
412	hoteltel	你们酒店咨询电话是什么
413	hoteltel	春天连锁宾馆电话多少？
414	hoteltel	全季酒店萧山机场店总台号码多少？
415	hoteltel	联系电话，了解详情？
416	hoteltel	怎样和店家在线交流？
417	hoteltel	我订的酒店号码发过来
418	hoteltel	阜阳火车站7天酒店号码
419	hoteltel	你们的联系方式是多少
420	hoteltel	有莫泰酒店号码吗
421	hoteltel	我看的这家联系方式有吗
422	hoteltel	大连东方大厦酒店电话号码
423	hoteltel	前台电话号码，我现在要订房间
424	hoteltel	维也纳酒店的电话给我一下
425	hoteltel	我想联系这家酒店的人
426	hoteltel	查一下酒店前台号码
427	hoteltel	我定的这个酒店电话是多少
428	hoteltel	你那边前台电话？
429	hoteltel	问这家店的联系方式是多少呢
430	hoteltel	汉庭客服电话
431	hoteltel	可以给我一个号码不
432	hoteltel	为什么我在线付了钱，连酒店电话也没有
433	hoteltel	凌源汉庭电话多少
434	hoteltel	有我订单酒店电话吗
435	hoteltel	这个订单的商家电话
436	hoteltel	上海名嘉精品宾馆电话
437	hoteltel	可以把你们店内的电话给我下吗
438	hoteltel	欢乐谷汉庭酒店电话多少？
439	hoteltel	帮找武汉如家快捷酒店(黄鹤楼店)总台电话
440	hoteltel	金源大酒店定酒席电话
441	hoteltel	能告诉我电话号码吗？金山店
442	hoteltel	能不能联系前台预留酒店房卡
443	hoteltel	，怎样联系到酒店？没有看到联系电话
444	hoteltel	请告知宇枫酒店联系号码，我需要的发票没有收到
445	hoteltel	求酒店电话？
446	hoteltel	订单号429797674.15760591203电话
447	email	我的订单号48305931，能告诉我酒店的电子邮箱地址吗？
448	email	能否提供下酒店联系邮箱
449	email	我想要酒店联系邮箱，订单号：43094502
450	email	酒店的邮箱还没有发给我
451	email	如何通过邮件联系酒店？
452	email	麻烦帮我查一下巴厘岛库塔alaya酒店的邮箱
453	email	夏威夷太平洋海滩酒店的邮箱
454	email	需要预定酒店联系邮箱
455	hoteltel	酒店电话多少，订错了
456	hoteltel	预订酒店找不到酒店电话号码
457	hoteltel	北京滨水绿道青年旅舍联系方式
458	hoteltel	澳门利奥酒店号码发过来
459	hoteltel	格林豪泰酒店电话多少
460	hoteltel	给我查一下青岛唐山路附近的锦江之星酒店的电话
461	email	我想要悦泰酒店的邮箱可以么
462	hoteltel	想知道酒店的客服电话
463	hoteltel	前台电话号码
464	hoteltel	有电话吗？找不到地方
465	hoteltel	和平公寓天和东街店联系电话是多少？
466	hoteltel	我已经定了你们的房间，请把你们的联系方式告诉我
467	email	邮箱 酒店
468	hoteltel	福瑞诗酒店的前台电话是多少
469	hoteltel	刚才我定的房间有联系方式吗
470	email	马尼拉酒店的邮箱地址是多少？
471	hoteltel	方特假日酒店电话
472	hoteltel	美居酒店电话
473	hoteltel	这个酒店的电话
474	hoteltel	涟源八喜客服电话号码发过来
475	email	能告诉我基隆坡万豪酒店的邮箱吗
476	hoteltel	酒店中餐电话
477	hoteltel	你们酒店客服电话
478	hoteltel	有没有酒店联系方式
479	hoteltel	方便给下繁荣宾馆的电话嘛？
480	hoteltel	酒店的电话发来，我去看看房间后再订
481	hoteltel	我们现在在普吉岛，这边看不到酒店电话，可以发一下泰国这边的酒店电话给我？
482	email	豪景大酒店的邮箱有没有？
483	hoteltel	酒店已预订，请将酒店电话告诉我
484	email	我需要日本京都皇冠假日酒店的邮箱，有吗
485	hoteltel	维也纳机场二店电话
486	hoteltel	我订的喜来登旅行社电话
487	hoteltel	我现在要预定酒店怎么才能查看到酒店的联系方式。
488	hoteltel	要是预定酒店的话，酒店电话在哪里呀我怎么看不见。
489	email	能否提供预订酒店的邮箱
490	email	有酒店的邮箱联系方式吗
491	email	67768378的订单，请提供一下酒店邮箱
492	email	月亮海滩酒店有邮箱吗
493	hoteltel	帮我要一下这个酒店电话，我退房的时候，押金没给我
494	hoteltel	我今天晚上想住你们家这个客栈可以吗？有联系方式吗？
495	hoteltel	我怎么才能联系上我订的望海酒店
496	hoteltel	阿克苏市和宾宾馆手机号码发一下
497	hoteltel	酒店有联系电话吗？
498	hoteltel	我需要酒店的电话号码
499	hoteltel	我想要洒店联系电话
500	hoteltel	常熟富麟酒店号码
501	hoteltel	出租司机让我们给酒店电话联系，订单上居然没有酒店联络电话
502	hoteltel	我要凌晨才能入住，可否给予一个酒店的联系方式？
503	hoteltel	把前台电话号码发给我
504	email	酒店前台邮箱多少
505	hoteltel	能否提供所订酒店的客服电话号码
506	hoteltel	我有东西落在酒店里了怎么联系
507	hoteltel	麻烦给我一个酒店前台电话，有东西忘在那里了
508	hoteltel	我东西丢酒店了，有前台电话吗？
509	hoteltel	哪里有酒店客服
510	hoteltel	我要找酒店客服
511	hoteltel	你打个电话联系一下酒店
512	hoteltel	我需要酒店的手机号
513	hoteltel	需要入住桔子精品酒店（王府井）的电话，有东西遗失在8232房
514	hoteltel	前台电话
515	hoteltel	银河酒店在哪里呀？把电话发过来啊
516	hoteltel	你店里电话多少我找不到具体位置
517	hoteltel	我要找前台
518	hoteltel	我预订过了电话是什么？
519	hoteltel	酒店电话？
520	hoteltel	本酒店的座机号是多少？
521	hoteltel	水云间电话可以发我吗
522	address	不知道酒店具体地址在哪儿
523	address	昨天定的北京七天连锁酒店，我昨天找了两个小时也没找见，
524	address	我订了酒店，但是找不到酒店具体位置？
525	address	我在网上定了房 现在过来没看到酒店？
526	address	找不到酒店，导航只能在附近就结束，没办法找
527	address	我刚才定了一个酒店，地方寻不到，酒店工作人员也说不清路
528	address	酒店具体位置在哪
529	address	我想查询我订的酒店位置
530	address	酒店地址不显示
531	address	我想知道我订的酒店在什么地方
532	address	这个酒店属于哪个区
533	address	酒店地址连江路多少号？
534	address	查询酒店大概的地理位置？
535	address	酒店地址在哪里啊？
536	address	酒店大概位置在哪儿
537	address	酒店具体在什么地方
538	address	酒店地址
539	address	酒店地理位置
540	address	广州圣廷苑时尚公寓的地址
541	address	金泰之家（北京劲松店） 具体地址发一下
542	address	把你们地理位置发给我，我们晚上过去
543	address	酒店在山顶嘛
544	address	你们酒店的位置在哪？
545	address	我预定的酒店地址
546	address	我已支付钱了，但忘了酒店地址
547	address	云水会商务酒店在那里
548	address	维纳斯酒店在哪？
549	address	尚客优连锁酒店在哪里
550	address	能把我刚才预定的房间地址告诉我么
551	address	我订的今天入住的酒店公寓具体地址在哪
552	address	我刚刚订的酒店明天好找位置不？
553	address	你店在哪里。我在网上订了。
554	address	你们的酒店是在机场附近的吗？
555	address	老板。酒店地址什么啊
556	address	我预定的房间地址是什么
557	address	这家酒店是在鼓浪屿上吗
558	address	麻烦帮我查今天我定的酒店在什么厦门地方
559	address	这个订单的酒店在什么位置
560	address	包头金辉快捷酒店在哪呢
561	address	我订的房间地址是什么地方呀?
562	address	你们酒店在杭州市区吗？
563	address	你们酒店在高铁站南站里面？
564	address	有订单找不到店面位置
565	address	为什么定的酒店找不到，在什么地方啊
566	address	我定的小木屋地址在哪。
567	address	酒店位于几层
568	address	天成公寓几楼几号
569	address	你们家庭公寓在哪里
570	address	把你们家的酒店地址发我
571	address	麻烦给个酒店的地址，我明天到，要收个快递
572	address	请你发个酒店坐标过来，今晚入住
573	address	我是订酒店外线支付的房客，具体位置在哪
574	address	我刚订的房间，你们那个店在哪里
575	address	酒店 在什么位置 我在滴滴打车哪里写上酒店名 什么都没的
576	address	我们微信定好了，找不见，麻烦发一下详细地址
577	address	我想确定一下你们的酒店是不是就在岛上了
578	address	保山四季酒店在哪个位置
579	address	可以发酒店位置信息给我吗
580	address	订单宾馆位置
581	address	酒店地址告诉我。发给我短信可以吗
582	address	刚刚定了一个房间给了钱不知道哪里位置
583	address	你们那个住的地方在城市的哪里？
584	address	你那能不能发个位置过来。我导航过去住
585	address	我订了您的房间，28号住，请发给我地址信息
586	address	导航到了，根本没有这个酒店
587	address	我己预定房间，你的具体位置在哪里
588	address	你酒店在贵阳哪里
589	address	我在贵酒店订了房间，现在在楚天星座公寓酒店楼下，怎样找到你们的酒店呀
590	address	你们酒店地址发我一下我在网上付钱了
591	address	把我预定的酒店位置发给我
592	address	商瘾酒店式公寓地址
593	address	我们现在已经到在楼下了一下是在几楼啊
594	address	我刚刚预定一个房间，麻烦帮我发个位置吧
595	address	我到风之歌青年旅社了不知道哪个楼层
596	address	我订的房在什么位置
597	address	我到达你附近就是找不到你酒店
598	address	导航过去怎么找不到你们店位置？
599	address	酒店位置在什么地方
600	address	我到酒店附近，没有那个酒店怎么办？
601	address	我到了这个酒店的地址但是找不到我定的酒店这个名字，电话也没有
602	address	能不能提供酒店位置
